,TimeStamp,Trade
79,23-09-2020 05:15:27.861 [DefaultMessageListenerContainer-1],20200923045253
80,23-09-2020 05:15:27.865 [DefaultMessageListenerContainer-1],20200923045254
81,23-09-2020 05:15:27.869 [DefaultMessageListenerContainer-1],20200923045255
82,23-09-2020 05:15:27.873 [DefaultMessageListenerContainer-1],20200923045256
83,23-09-2020 05:15:27.877 [DefaultMessageListenerContainer-1],20200923045257
84,23-09-2020 05:15:27.881 [DefaultMessageListenerContainer-1],20200923045258
85,23-09-2020 05:15:27.886 [DefaultMessageListenerContainer-1],20200923045259
86,23-09-2020 05:15:27.890 [DefaultMessageListenerContainer-1],20200923045300
87,23-09-2020 05:15:27.894 [DefaultMessageListenerContainer-1],20200923045301
88,23-09-2020 05:15:27.898 [DefaultMessageListenerContainer-1],20200923045302
89,23-09-2020 05:15:27.903 [DefaultMessageListenerContainer-1],20200923045303
90,23-09-2020 05:15:27.911 [DefaultMessageListenerContainer-1],20200923045304
91,23-09-2020 05:15:27.951 [DefaultMessageListenerContainer-1],20200923045305
92,23-09-2020 05:15:27.957 [DefaultMessageListenerContainer-1],20200923045306
93,23-09-2020 05:15:27.961 [DefaultMessageListenerContainer-1],20200923045307
94,23-09-2020 05:15:27.966 [DefaultMessageListenerContainer-1],20200923045308
95,23-09-2020 05:15:27.970 [DefaultMessageListenerContainer-1],20200923045309
96,23-09-2020 05:15:27.974 [DefaultMessageListenerContainer-1],20200923045311
97,23-09-2020 05:15:27.979 [DefaultMessageListenerContainer-1],20200923045312
98,23-09-2020 05:15:27.983 [DefaultMessageListenerContainer-1],20200923045313
99,23-09-2020 05:15:27.987 [DefaultMessageListenerContainer-1],20200923045314
100,23-09-2020 05:15:27.991 [DefaultMessageListenerContainer-1],20200923045330
101,23-09-2020 05:15:27.995 [DefaultMessageListenerContainer-1],20200923045332
102,23-09-2020 05:15:27.999 [DefaultMessageListenerContainer-1],20200923045333
103,23-09-2020 05:15:28.004 [DefaultMessageListenerContainer-1],20200923045334
104,23-09-2020 05:15:28.008 [DefaultMessageListenerContainer-1],20200923045335
105,23-09-2020 05:15:28.013 [DefaultMessageListenerContainer-1],20200923045336
106,23-09-2020 05:15:28.017 [DefaultMessageListenerContainer-1],20200923045337
107,23-09-2020 05:15:28.021 [DefaultMessageListenerContainer-1],20200923045338
108,23-09-2020 05:15:28.025 [DefaultMessageListenerContainer-1],20200923045339
109,23-09-2020 05:15:28.029 [DefaultMessageListenerContainer-1],20200923045340
110,23-09-2020 05:15:28.033 [DefaultMessageListenerContainer-1],20200923045341
111,23-09-2020 05:15:28.037 [DefaultMessageListenerContainer-1],20200923045342
112,23-09-2020 05:15:28.048 [DefaultMessageListenerContainer-1],20200923045343
113,23-09-2020 05:15:28.052 [DefaultMessageListenerContainer-1],20200923045344
114,23-09-2020 05:15:28.056 [DefaultMessageListenerContainer-1],20200923045345
115,23-09-2020 05:15:28.060 [DefaultMessageListenerContainer-1],20200923045346
116,23-09-2020 05:15:28.064 [DefaultMessageListenerContainer-1],20200923045347
117,23-09-2020 05:15:28.069 [DefaultMessageListenerContainer-1],20200923045348
118,23-09-2020 05:15:28.073 [DefaultMessageListenerContainer-1],20200923045349
119,23-09-2020 05:15:28.077 [DefaultMessageListenerContainer-1],20200923045351
120,23-09-2020 05:15:28.082 [DefaultMessageListenerContainer-1],20200923045352
121,23-09-2020 05:15:28.087 [DefaultMessageListenerContainer-1],20200923045353
122,23-09-2020 05:15:28.091 [DefaultMessageListenerContainer-1],20200923045354
123,23-09-2020 05:15:28.095 [DefaultMessageListenerContainer-1],20200923045355
124,23-09-2020 05:15:28.148 [DefaultMessageListenerContainer-1],20200923045356
125,23-09-2020 05:15:28.153 [DefaultMessageListenerContainer-1],20200923045357
126,23-09-2020 05:15:28.159 [DefaultMessageListenerContainer-1],20200923045358
127,23-09-2020 05:15:28.170 [DefaultMessageListenerContainer-1],20200923045359
128,23-09-2020 05:15:28.177 [DefaultMessageListenerContainer-1],20200923045400
129,23-09-2020 05:15:28.182 [DefaultMessageListenerContainer-1],20200923045401
130,23-09-2020 05:15:28.189 [DefaultMessageListenerContainer-1],20200923045402
131,23-09-2020 05:15:28.193 [DefaultMessageListenerContainer-1],20200923045403
132,23-09-2020 05:15:28.199 [DefaultMessageListenerContainer-1],20200923045404
133,23-09-2020 05:15:28.203 [DefaultMessageListenerContainer-1],20200923045405
134,23-09-2020 05:15:28.208 [DefaultMessageListenerContainer-1],20200923045406
135,23-09-2020 05:15:28.212 [DefaultMessageListenerContainer-1],20200923045407
136,23-09-2020 05:15:28.217 [DefaultMessageListenerContainer-1],20200923045408
137,23-09-2020 05:15:28.221 [DefaultMessageListenerContainer-1],20200923045410
138,23-09-2020 05:15:28.228 [DefaultMessageListenerContainer-1],20200923045411
139,23-09-2020 05:15:28.233 [DefaultMessageListenerContainer-1],20200923045412
140,23-09-2020 05:15:28.238 [DefaultMessageListenerContainer-1],20200923045413
141,23-09-2020 05:15:28.242 [DefaultMessageListenerContainer-1],20200923045414
