,TimeStamp,Trade
0,05:16:10.732,20200923045137
1,05:16:10.807,20200923045139
2,05:16:11.211,20200923045141
3,05:16:11.618,20200923045147
4,05:16:11.898,20200923045148
5,05:16:12.423,20200923045152
6,05:16:12.501,20200923045154
7,05:16:13.013,20200923045200
8,05:16:13.225,20200923045158
9,05:16:13.520,20200923045204
10,05:16:14.118,20200923045202
11,05:16:14.210,20200923045213
12,05:16:14.823,20200923045130
13,05:16:15.132,20200923045129
14,05:16:15.701,20200923045131
15,05:16:15.706,20200923045140
16,05:16:16.208,20200923045132
17,05:16:16.600,20200923045135
18,05:16:16.624,20200923045221
19,05:16:17.194,20200923045145
20,05:16:17.498,20200923045217
21,05:16:17.707,20200923045134
22,05:16:18.214,20200923045225
23,05:16:18.494,20200923045143
24,05:16:18.829,20200923045153
25,05:16:19.317,20200923045142
26,05:16:19.595,20200923045133
27,05:16:19.904,20200923045232
28,05:16:20.424,20200923045223
29,05:16:20.452,20200923045157
30,05:16:20.918,20200923045146
31,05:16:21.317,20200923045150
32,05:16:21.492,20200923045238
33,05:16:21.918,20200923045207
34,05:16:22.112,20200923045138
35,05:16:22.610,20200923045151
36,05:16:23.102,20200923045229
37,05:16:23.117,20200923045242
38,05:16:23.613,20200923045218
39,05:16:23.895,20200923045156
40,05:16:24.122,20200923045203
41,05:16:24.608,20200923045246
42,05:16:24.622,20200923045144
43,05:16:25.200,20200923045226
44,05:16:25.505,20200923045234
45,05:16:25.712,20200923045206
46,05:16:26.294,20200923045252
47,05:16:26.308,20200923045159
48,05:16:26.893,20200923045235
49,05:16:27.098,20200923045149
50,05:16:27.650,20200923045209
51,05:16:28.010,20200923045241
52,05:16:28.299,20200923045258
53,05:16:28.802,20200923045244
54,05:16:28.812,20200923045214
55,05:16:29.415,20200923045212
56,05:16:29.625,20200923045201
57,05:16:30.004,20200923045308
58,05:16:30.497,20200923045245
59,05:16:30.515,20200923045251
60,05:16:31.103,20200923045216
61,05:16:31.203,20200923045219
62,05:16:31.904,20200923045205
